id,nom,latitude,longitude,departement
39240,Marigna Sur Valouse,46.446461908,5.528323143,39
39130,Marigny,46.679329287,5.777720172,39
39600,Mathenay,46.929764738,5.679439534,39
39130,Mesnois,46.594424045,5.676992017,39
39570,Messia Sur Sorne,46.663781838,5.515367551,39
39250,Mieges,46.789982519,6.051455026,39
39250,Mieges,46.789982519,6.051455026,39
39250,Mignovillard,46.77774079,6.140716692,39
39290,Moissey,47.188453105,5.532434426,39
39360,Chassal Molinges,46.357518899,5.778193947,39
39320,Monnetay,46.457979807,5.511419574,39
39210,Montain,46.72079781,5.577984309,39
39400,Morbier,46.557287203,6.016436172,39
39400,Hauts De Bienne,46.514383984,5.995902986,39
39330,Mouchard,46.977657836,5.789685614,39
39270,Moutonne,46.52992345,5.566253083,39
39160,Les Trois Chateaux,46.419552874,5.35630085,39
39140,Nance,46.748424371,5.422699141,39
39120,Neublans Abergement,46.904215976,5.339167367,39
39250,Nozeroy,46.770131675,6.036061654,39
39270,Orgelet,46.519453561,5.598867642,39
39700,Our,47.107219545,5.648897421,39
39300,Le Pasquier,46.798222911,5.897069634,39
39130,Patornay,46.587333549,5.709553322,39
39290,Peintre,47.197841354,5.473005162,39
39270,Pimorin,46.496029783,5.500632464,39
39210,Plainoiseau,46.725144633,5.555650076,39
39130,Pont De Poitte,46.572002783,5.68755453,39
39110,Pont D Hery,46.87660733,5.899130373,39
39110,Pont D Hery,46.87660733,5.899130373,39
39270,Presilly,46.557250928,5.581948101,39
39110,Pretin,46.931565447,5.835326207,39
39600,Pupillin,46.87631303,5.751864403,39
39570,Quintigny,46.734446112,5.523936248,39
39290,Rainans,47.157753345,5.473721798,39
39230,Rye,46.880519205,5.425733112,39
39410,St Aubin,47.032617038,5.333128565,39
39300,St Germain En Montagne,46.77921262,5.937871342,39
39320,Val Suran,46.386313329,5.443105612,39
39230,St Lamain,46.804267629,5.597646331,39
39150,St Laurent En Grandvaux,46.56967647,5.962581102,39
39120,St Loup,46.99639813,5.305116218,39
39150,St Pierre,46.568212339,5.903128161,39
39110,St Thiebaud,46.971606636,5.879766021,39
39110,Saizenay,46.967964379,5.9286458920000005,39
39120,Seligney,46.944742626,5.54086847,39
39300,Supt,46.85419612,5.981511174,39
39300,Syam,46.696810431,5.951906666,39
39500,Tavaux,47.037624924,5.402858802,39
39110,Thesy,46.904808449,5.929312164,39
39240,Thoirette Coisia,46.291657094,5.518713624,39
39240,Thoirette Coisia,46.291657094,5.518713624,39
39600,Vadans,46.938400986,5.70563838,39
39300,Valempoulieres,46.828094158,5.873941085,39
39300,Vannoz,46.773442847,5.912066795,39
39300,Le Vaudioux,46.687569019,5.928396074,39
39800,Vaux Sur Poligny,46.82299081,5.7271541290000005,39
39570,Vernantois,46.627807899,5.578234652,39
39240,Vescles,46.358013539,5.611305625,39
39570,Vevy,46.666549203,5.663880123,39
39260,Villards D Heria,46.406275962,5.73542808,39
39570,Villeneuve Sous Pymont,46.69523902,5.552303453,39
39600,Villers Farlay,46.993775096,5.760324831,39
39230,Vincent Froideville,46.79367224,5.482371739,39
39210,Voiteur,46.743655872,5.602606518,39
39700,Vriange,47.18360525,5.584358464,39
21121,Ahuy,47.371214576,5.020496119,21
21510,Aignay Le Duc,47.671659569,4.751193926,21
21230,Allerey,47.19024207,4.420607175,21
21420,Aloxe Corton,47.068008045,4.86156952,21
21230,Antigny La Ville,47.101459482,4.559930499,21
21310,Arceau,47.376096012,5.196336831,21
21350,Arnay Sous Vitteaux,47.437236808,4.498765424,21
21360,Aubaine,47.130283617,4.733758442,21
21580,Avot,47.616734359,5.007235333,21
21410,Baulme La Roche,47.347733364,4.793730043,21
21320,Bellenot Sous Pouilly,47.286821843,4.546193821,21
21360,Bessey En Chaume,47.088015422,4.742875853,21
21110,Bessey Les Citeaux,47.145631552,5.147537611,21
21520,Bissey La Cote,47.912010101,4.706966857,21
21330,Bissey La Pierre,47.843100453,4.426207708,21
21690,Source Seine,47.488803885,4.696760719,21
21200,Bligny Les Beaune,46.981841328,4.83078393,21
21360,Bligny Sur Ouche,47.114906921,4.684266306,21
21330,Bouix,47.899266371,4.468838468,21
21350,Brain,47.463090644,4.505321596,21
21390,Braux,47.410359424,4.418554279,21
21390,Brianny,47.412152598,4.374237142,21
21500,Buffon,47.656080482,4.274404797,21
21110,Cessey Sur Tille,47.282556445,5.229085175,21
21320,Chailly Sur Armancon,47.273253678,4.477709,21
21290,Chambain,47.79513604,4.918708604,21
21400,Chamesson,47.783268513,4.541453803,21
21500,Champ D Oiseau,47.554443111,4.347541103,21
21310,Charmes,47.372195692,5.350008878,21
21170,Charrey Sur Saone,47.099107946,5.154042673,21
21400,Chatillon Sur Seine,47.858369131,4.591958657,21
21360,Chaudenay Le Chateau,47.179758123,4.642522175,21
21290,Chaugey,47.745545857,4.949646789,21
21400,Chaumont Le Bois,47.933853839,4.593057339,21
21220,Valforet,47.245760939,4.866785936,21
21270,Clery,47.295734009,5.50123924,21
21110,Collonges Et Premieres,47.228638946,5.291997765,21
21200,Combertault,46.99156924,4.903258281,21
21700,Comblanchien,47.102585062,4.918586014,21
21320,Commarin,47.249135548,4.652508683,21
21150,Corpoyer La Chapelle,47.548960885,4.609722066,21
21120,Courtivron,47.534415573,4.95287413,21
21120,Crecey Sur Tille,47.570003665,5.141515403,21
21220,Curley,47.203708131,4.910342158,21
21120,Dienay,47.521595466,5.059769608,21
21000,Dijon,47.322850621,5.037471304,21
21320,Eguilly,47.301451523,4.500483593,21
21500,Eringes,47.588539264,4.467532468,21
21510,Etalante,47.629318672,4.766439896,21
21270,Etevaux,47.323005489,5.322056752,21
21450,Etormay,47.597679495,4.581363598,21
21290,Faverolles Les Lucey,47.827429144,4.866005642,21
21490,Flacey,47.434258335,5.135486762,21
21150,Flavigny Sur Ozerain,47.509014232,4.518814817,21
21140,Le Val Larrey,47.433067236,4.320016084,21
21410,Fleurey Sur Ouche,47.300305297,4.863873416,21
21260,Foncegrive,47.617293647,5.143105989,21
21220,Gevrey Chambertin,47.220053292,4.982552955,21
